garbage_index,satellite_index,distance
1,47,8097.629007833409
1,48,10936.97672082894
1,49,10857.833737234681
1,50,10867.945961381634
1,51,11923.11489126061
1,52,12173.651677201871
1,53,9351.492250971341
1,54,12601.282473419578
1,55,9891.395340347251
1,56,10950.331091525135
1,57,9485.554927563617
1,58,9277.995671991142
1,59,9442.668125322876
1,60,9428.69936799836
1,61,9366.22660319643
1,62,8390.539773257511
1,63,9409.336874221195
1,64,9483.52225508837
1,65,9557.133327616926
1,66,9249.987905030719
1,67,9396.011832287075
1,68,9509.042926450851
1,69,9530.70146245644
1,70,9685.076316084434
1,71,9601.005698229503
1,72,9495.174270795065
1,73,9461.078577060991
1,74,10476.963878160175
1,75,9479.955209275357
1,76,9361.672079393607
1,77,9504.510627346925
1,78,9467.675386328323
1,79,9441.661052869014
1,80,9415.916603681871
1,81,11768.549846890468
1,82,12907.653328879802
1,83,12918.116494543856
1,84,13152.044141571101
1,85,13331.355533920852
1,86,13381.642003612838
1,87,13337.461618201889
1,88,13361.86474260645
1,89,13375.376397278715
1,90,13370.74770668023
1,91,13293.088043736308
1,92,13281.618336620266
1,93,13082.751184347477
1,94,13139.013218691553
1,95,9772.131332913337
1,96,13278.128430371054
1,97,13240.085926624795
1,98,12981.961781833705
1,99,12877.181011235527
1,100,13372.222471592137
1,101,12805.571522462107
1,102,8880.769113000159
1,103,11390.947394040699
1,104,12256.165413235276
1,105,11825.634491898521
1,106,11692.588985931048
1,107,10096.818232828382
1,108,11481.634709537087
1,109,12310.730438759341
1,110,4806.334937036955
1,111,4526.887760677658
1,112,4685.629525325114
1,113,12521.682017061325
1,114,9333.637083270098
1,115,5834.47247926622
1,116,10497.382538620594
1,117,4212.145112677859
1,118,4305.801655414126
1,119,5754.837398491855
1,120,12123.781739060738
1,121,11537.131164848457
1,122,7079.52686351945
1,123,10084.091608780911
1,124,8336.324390414033
1,125,5617.301579184769
1,126,7584.175151055001
1,127,9631.383083719398
1,128,10259.960231110741
1,129,10661.96619093625
1,130,12287.873951512951
1,131,12426.79038383065
1,132,12611.207830867792
1,133,12792.988698101746
1,134,12874.88359848876
1,135,12916.694895443896
1,136,12634.197842564798
1,137,5634.281140423346
1,138,12772.41837879493
1,139,12686.857900709227
1,140,12612.43637153431
1,141,12857.61599510984
1,142,12834.21003679779
1,143,12433.780205420011
1,144,11253.98526127179
1,145,12817.617362466186
1,146,12160.412776964777
1,147,12096.543613651575
1,148,12448.05867971244
1,149,12718.391532807555
1,150,12432.584743618023
1,151,12687.284053556492
1,152,12329.947115907678
1,153,12161.759039457154
1,154,12146.796956422055
1,155,11871.100683728851
1,156,12103.298688224333
1,157,11373.622933802813
1,158,11432.127250552709
