OBJECT_NAME,OBJECT_ID,EPOCH,x,y,z,Cluster,Density
IRIDIUM 33 DEB,1997-051FA,2024-06-01T10:42:11.236896,5530.161925099004,3646.170239484034,-2138.678797588421,-1,-28.630283244300127
IRIDIUM 33 DEB,1997-051FJ,2024-06-01T11:14:57.020928,2486.2785533256756,-6687.3617978607435,-237.62013857719612,-1,-28.453801660679748
IRIDIUM 33 DEB,1997-051FT,2024-06-01T04:26:17.208096,4192.65588295476,4904.205085707152,3181.316021516862,6,-28.12451568351669
IRIDIUM 33 DEB,1997-051FU,2024-06-01T07:51:38.284416,-1471.3862973560574,-3945.9318790065777,-5721.6068482345045,3,-27.96260938225724
IRIDIUM 33 DEB,1997-051GB,2024-06-01T08:01:15.724128,-720.6943983746401,-6892.375217687685,1310.4948019932303,-1,-28.36324333201409
IRIDIUM 33 DEB,1997-051GC,2024-05-30T06:05:53.237760,-640.7199822638242,-523.5796694248356,-7095.607831508677,3,-27.24648055958908
IRIDIUM 33 DEB,1997-051GD,2024-06-01T08:31:35.836896,4522.362078495235,2702.5238643932776,-4646.425355932343,-1,-28.728736281980176
IRIDIUM 33 DEB,1997-051GE,2024-06-01T11:53:07.878912,4785.093519349399,-3966.056808304734,-2770.744482594762,-1,-29.23728869297261
IRIDIUM 33 DEB,1997-051GH,2024-05-29T02:13:15.843072,-7078.482605531124,-2107.318874042922,785.0001322482334,4,-28.4506148719623
IRIDIUM 33 DEB,1997-051GN,2024-05-30T08:51:32.080320,-2025.2465508918035,4484.351458116755,-5278.8779352158635,2,-27.869399564524976
IRIDIUM 33 DEB,1997-051GU,2024-06-01T12:49:58.687392,-6756.907132109403,596.6063315713028,1653.4983365521553,-1,-29.038139735700447
IRIDIUM 33 DEB,1997-051GZ,2024-06-01T11:30:54.662112,-6165.573278363791,2291.3430753300972,-2727.031942488521,-1,-29.120418920365957
IRIDIUM 33 DEB,1997-051HC,2024-06-01T00:15:13.045824,-456.56244642394273,-6965.038771576573,-135.16221215770315,-1,-28.259843406803355
IRIDIUM 33 DEB,1997-051HN,2024-06-01T08:56:37.964832,514.2727356475087,-917.0717483100251,7009.537781209631,1,-27.422108306195693
IRIDIUM 33 DEB,1997-051HR,2024-06-01T12:05:59.327232,3508.196159417426,4497.243644130519,-3913.881116640497,-1,-28.217573418664
IRIDIUM 33 DEB,1997-051HS,2024-06-01T09:36:17.388000,1404.2724870792686,-6181.033379367941,-3300.4820370265093,-1,-28.848207677492024
IRIDIUM 33 DEB,1997-051HW,2024-06-01T08:27:48.637728,-190.44123722462024,6548.800136783769,2831.0922362143133,1,-27.54852948989226
IRIDIUM 33 DEB,1997-051JF,2024-06-01T12:30:40.885920,-2408.9747151038673,-6560.3758209820535,1370.5248945138292,-1,-28.33386147709468
IRIDIUM 33 DEB,1997-051JH,2024-06-01T14:46:50.875968,-3048.3437256660936,-1523.3091271999701,6193.49392507333,-1,-28.45665594437955
IRIDIUM 33 DEB,1997-051JU,2024-06-01T07:03:12.996288,-2102.2327669124907,-4167.037262342355,-5059.030963711369,3,-28.118847090701014
IRIDIUM 33 DEB,1997-051JZ,2024-05-29T23:15:38.205216,5118.659845056128,-3892.3934900143768,3388.6665657347544,-1,-28.98055676613353
IRIDIUM 33 DEB,1997-051KC,2024-06-01T01:56:42.267264,5729.02941267765,1933.9371194019036,4144.15657206184,-1,-28.61884038728861
IRIDIUM 33 DEB,1997-051KD,2024-06-01T04:30:42.521760,-3767.5605313286883,-4424.488689014867,4019.2102146761354,-1,-28.737970770939608
IRIDIUM 33 DEB,1997-051KM,2024-05-31T01:48:29.443392,979.8089520743974,-3987.3759171859374,5785.250393261979,0,-27.65904483317496
IRIDIUM 33 DEB,1997-051KQ,2024-05-30T03:28:24.250368,1705.594255728985,346.52177174584244,6811.138989139136,1,-27.369405072373095
IRIDIUM 33 DEB,1997-051KT,2024-05-31T20:01:08.340384,587.0420233262262,-586.5261567674423,7172.785589754515,1,-27.369137696666208
IRIDIUM 33 DEB,1997-051KZ,2024-05-30T11:14:14.705664,4758.730649632094,-1147.967673116722,-5043.098730383696,-1,-29.064818370778177
