OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
IRIDIUM 33 DEB,1997-051FT,2024-01-22T04:20:47.357952,14.15399188,.0107308,86.4302,100.7054,156.8739,233.9684,0,U,34375,999,76934,.68272E-3,.1426E-4,0
IRIDIUM 33 DEB,1997-051FU,2024-01-22T19:21:50.917248,14.44690424,.0034733,86.3058,311.9566,340.5252,19.4620,0,U,34376,999,77983,.32426E-2,.1135E-3,0
IRIDIUM 33 DEB,1997-051GB,2024-01-22T20:43:38.432928,14.62450062,.0018574,86.4090,320.7474,25.6615,38.7920,0,U,34486,999,78800,.27847E-2,.14168E-3,0
IRIDIUM 33 DEB,1997-051GC,2024-01-22T06:54:20.238336,14.41243015,.0029563,86.3455,309.0547,250.4800,238.3282,0,U,34487,999,78296,.43653E-3,.1436E-4,0
IRIDIUM 33 DEB,1997-051GD,2024-01-22T16:06:08.709696,14.68049478,.0019395,86.3403,266.6725,311.0501,48.9037,0,U,34488,999,78962,.23401E-2,.13496E-3,0
IRIDIUM 33 DEB,1997-051GE,2024-01-22T18:02:47.552928,14.80672804,.0040052,86.3939,23.1407,350.8312,9.2173,0,U,34489,999,77947,.1157E-1,.91215E-3,0
IRIDIUM 33 DEB,1997-051GH,2024-01-22T15:11:47.524416,14.00288972,.0267872,86.4865,247.0308,261.8537,154.2454,0,U,34492,999,75314,.45863E-2,.9272E-4,0
IRIDIUM 33 DEB,1997-051GN,2024-01-21T20:59:35.103840,14.22958464,.0088236,86.2814,346.3420,38.4150,351.5513,0,U,34497,999,77175,.15395E-2,.3623E-4,0
IRIDIUM 33 DEB,1997-051GU,2024-01-22T14:11:41.981568,14.76009512,.0015847,86.3087,234.5707,90.5616,269.7418,0,U,34503,999,79156,.25278E-2,.17488E-3,0
IRIDIUM 33 DEB,1997-051GZ,2024-01-22T17:53:27.051072,14.29878044,.0070569,86.3739,32.9650,263.4041,95.9116,0,U,34508,999,77418,.19237E-2,.5102E-4,0
IRIDIUM 33 DEB,1997-051HC,2024-01-22T20:37:16.794624,14.74061734,.0028007,86.3788,325.7019,38.0535,15.6543,0,U,34511,999,78537,.5956E-2,.39644E-3,0
IRIDIUM 33 DEB,1997-051HN,2024-01-22T19:55:11.055648,14.50102786,.0008228,86.3865,330.8960,71.0278,289.1817,0,U,34521,999,78427,.19989E-2,.778E-4,0
IRIDIUM 33 DEB,1997-051HR,2024-01-22T06:10:04.564992,14.82950837,.0026176,86.3300,291.0973,29.3936,330.8752,0,U,34524,999,78628,.62813E-2,.51618E-3,0
IRIDIUM 33 DEB,1997-051HS,2024-01-22T20:52:50.500416,14.39386854,.0003859,86.3772,340.3571,169.8578,251.1541,0,U,34525,999,78151,.71425E-3,.224E-4,0
IRIDIUM 33 DEB,1997-051HW,2024-01-22T20:21:07.365888,14.39010786,.0004738,86.3675,329.0286,332.9751,27.1200,0,U,34529,999,78214,.46276E-3,.1447E-4,0
IRIDIUM 33 DEB,1997-051JF,2024-01-22T19:08:00.468960,14.35373969,.0043674,86.2794,305.9552,67.7031,346.7454,0,U,34538,999,77832,.14141E-2,.4119E-4,0
IRIDIUM 33 DEB,1997-051JH,2024-01-23T04:08:52.552608,14.58926334,.0024506,86.3193,258.0110,24.0381,105.0574,0,U,34540,999,78952,.11603E-2,.5481E-4,0
IRIDIUM 33 DEB,1997-051JU,2024-01-22T18:55:27.700320,14.88092743,.0020606,86.3683,308.6871,346.4034,13.6634,0,U,34643,999,78483,.78012E-2,.727E-3,0
