OBJECT_NAME,OBJECT_ID,EPOCH,x,y,z
SITRO-AIS 49,2024-039K,2024-03-15T03:35:50.527968,4923.941021065548,3705.3434011427435,3068.2539334445696
SITRO-AIS 50,2024-039L,2024-03-15T03:35:21.681600,4845.016434166231,3595.984738882117,3312.3289626315755
SITRO-AIS 51,2024-039M,2024-03-15T03:34:53.079744,4771.679408822889,3498.280137947241,3515.7423243464796
SITRO-AIS 52,2024-039N,2024-03-15T03:33:54.264672,4586.346381276129,3263.897729404089,3956.749091064956
ZORKIY-2M 2,2024-039P,2024-03-15T03:33:27.713088,4516.06559123678,3178.519392540987,4103.375299037723
PARS 1,2024-039Q,2024-03-15T03:23:10.035168,1357.4951117408423,16.45535367180666,6727.622651652667
SITRO-AIS 25,2024-039R,2024-03-15T03:50:34.799136,4957.145313577956,3854.6731669661212,-2885.1354609271534
SITRO-AIS 26,2024-039S,2024-03-15T03:50:13.622496,5029.5564710199615,3886.5738042654098,-2716.529764147501
SITRO-AIS 27,2024-039T,2024-03-15T03:48:48.798432,5286.47356730837,3987.643020897273,-2010.8996746919445
SITRO-AIS 28,2024-039U,2024-03-15T03:48:16.584192,5366.179544252295,4013.2251373602066,-1741.8663199165435
MARAFON-D GVM,2024-039V,2024-03-14T21:46:25.150656,-902.2681939576273,-493.0148345290871,-7043.587934253561
FREGAT R/B,2024-039W,2024-03-14T21:05:15.764352,1464.1159609114281,714.4957589057942,6933.070708573964
STARLINK-31265,2024-041A,2024-03-15T04:00:00.999936,5150.792034399405,2976.0084584308493,-3185.565365713466
STARLINK-31276,2024-041B,2024-03-15T04:00:00.999936,5103.172425722846,3176.861233218919,-3066.1034875533624
STARLINK-31259,2024-041C,2024-03-15T04:00:00.999936,5049.38279746522,3371.769596285359,-2943.6389366061594
STARLINK-31281,2024-041D,2024-03-15T04:00:00.999936,4991.506605866721,3556.9916857485136,-2821.576282981375
STARLINK-31274,2024-041E,2024-03-15T04:00:00.999936,4927.377084871905,3739.9225616664644,-2695.070310273542
STARLINK-31257,2024-041F,2024-03-15T04:00:00.999936,4858.655641679942,3915.4556916453434,-2567.5895593320606
STARLINK-31299,2024-041G,2024-03-15T04:00:00.999936,4781.340467750757,4092.93963679194,-2432.077763138383
STARLINK-31292,2024-041H,2024-03-15T04:00:00.999936,4698.137497648048,4265.277235368188,-2293.5884874443323
STARLINK-31286,2024-041J,2024-03-15T04:00:00.999936,4537.4651034343005,4557.7856546978,-2041.8595598412955
STARLINK-31252,2024-041K,2024-03-15T04:00:00.999936,4417.125944208706,4746.431281277923,-1865.363361733537
STARLINK-31261,2024-041L,2024-03-15T04:00:00.999936,4342.688820501482,4853.0740184107035,-1760.15701219628
STARLINK-31290,2024-041M,2024-03-15T04:00:00.999936,4247.149463255715,4984.504010714891,-1627.3517042578826
STARLINK-31279,2024-041N,2024-03-15T04:00:00.999936,4418.6299631525835,4752.415347120773,-1864.6771098524164
STARLINK-31266,2024-041P,2024-03-15T04:00:00.999936,4128.007918076113,5134.834117313148,-1467.1128634066774
STARLINK-31313,2024-041Q,2024-03-15T04:00:00.999936,3860.898973974964,5416.700322256033,-1129.1997466973846
STARLINK-31307,2024-041R,2024-03-15T04:00:00.999936,3723.9290781355935,5543.476651756831,-963.0215010772232
STARLINK-31316,2024-041S,2024-03-15T04:00:00.999936,3658.279675140674,5600.569099741584,-884.9601022284457
STARLINK-31352,2024-041T,2024-03-15T06:00:00.999648,5189.5843529891135,2639.1910259822203,-3282.8235715348865
STARLINK-31310,2024-041U,2024-03-15T04:00:00.999936,3456.335985999463,5759.1233444154705,-651.1870361494183
STARLINK-31343,2024-041V,2024-03-15T04:00:00.999936,3450.6023981494363,5762.970692087121,-644.921540182672
STARLINK-31302,2024-041W,2024-03-15T03:27:42.059520,3341.9123990333205,-3834.6351773585434,-4354.6815002916155
STARLINK-31295,2024-041X,2024-03-15T04:00:00.999936,2844.049514430984,6118.039855332198,9.722800664857585
STARLINK-31291,2024-041Y,2024-03-15T04:00:00.999936,2952.9758295149286,6068.344630774064,-102.53041187880974
CREW DRAGON 8,2024-042A,2024-03-14T09:13:27.838272,-721.6369877316142,-5564.051796109092,-3846.1128553107233
2024-043A,2024-043A,2024-03-13T13:16:11.548416,-5509.8084457566565,-1695.6399349784083,3933.5259581806754
2024-043B,2024-043B,2024-03-13T13:14:08.827584,-4707.620526993444,-1207.0530142464013,5003.977290455153
2024-043C,2024-043C,2024-03-13T13:13:13.231776,-4306.095135036267,-983.4815031812835,5397.385914099132
2024-043D,2024-043D,2024-03-13T13:12:14.384736,-3876.7053123880287,-754.7643100184318,5747.203055451372
2024-043E,2024-043E,2024-03-13T13:09:42.045984,-2480.4912850812443,-65.33857816492302,6513.488677338167
2024-043F,2024-043F,2024-03-13T13:09:19.222560,-2262.1054187630966,36.05273037065168,6591.794731615302
2024-043G,2024-043G,2024-03-13T13:08:35.295936,-1852.6910735902254,222.98019631210497,6713.703384055348
2024-043H,2024-043H,2024-03-13T13:07:47.537472,-1383.4085781979584,432.03081249936946,6814.998920087388
2024-043J,2024-043J,2024-03-13T13:07:02.262144,-955.3086347877462,617.370475982114,6872.8824571742725
2024-043K,2024-043K,2024-03-13T13:05:45.415392,-129.73079269021434,963.0127811598119,6896.914107180003
2024-043L,2024-043L,2024-03-13T13:04:10.155072,846.8988772119725,1349.209018125138,6778.471535372188
2024-043M,2024-043M,2024-03-13T12:48:27.836928,6125.945557396063,2768.3431089444603,1502.1328890414084
2024-043N,2024-043N,2024-03-13T13:02:40.630848,-770.879526310383,647.3491233325229,6824.554551449104
2024-043P,2024-043P,2024-03-13T13:02:36.896640,-780.94796864343,643.8162676399674,6824.300737072912
2024-043Q,2024-043Q,2024-03-13T13:01:48.497088,-418.83551324030816,796.9654874120201,6839.461686382513
2024-043R,2024-043R,2024-03-13T09:51:20.128032,-48.867272239924525,949.6903930130711,6831.926394852361
2024-043S,2024-043S,2024-03-13T13:00:58.277952,137.9422033400482,1026.3126311211136,6819.564352397283
2024-043T,2024-043T,2024-03-13T13:00:09.222624,942.9019632269237,1343.2914147344309,6698.104770221437
2024-043U,2024-043U,2024-03-13T12:58:26.489568,2048.2665391834657,1753.0576342282025,6345.695531841837
2024-043V,2024-043V,2024-03-13T12:58:54.157440,1375.2794773870075,1508.7735344891776,6586.50869415641
2024-043W,2024-043W,2024-03-13T12:58:15.814848,1960.8736835901452,1722.9966268548542,6381.599252889955
2024-043X,2024-043X,2024-03-13T12:58:05.778624,2058.5885444562273,1757.1116827419048,6340.994837203417
2024-043Y,2024-043Y,2024-03-13T12:58:12.705312,1893.9057271181155,1699.2542952131303,6408.236537865747
2024-043Z,2024-043Z,2024-03-13T11:23:00.136032,1868.8532109092023,1689.6994340345536,6418.003652399943
2024-043AA,2024-043AA,2024-03-13T12:57:36.493344,2186.484737769596,1803.4678695755936,6284.93365615583
2024-043AB,2024-043AB,2024-03-13T12:57:49.723776,1984.711400010896,1730.9269077383115,6371.801213453838
2024-043AC,2024-043AC,2024-03-13T12:56:42.232416,2651.7707729880353,1963.5828987994332,6052.572476962799
2024-043AD,2024-043AD,2024-03-13T12:56:33.207072,2749.290371490254,1997.391197653233,5997.827220460731
2024-043AE,2024-043AE,2024-03-13T12:56:28.514688,2789.8140668039373,2009.8082192250413,5974.381442332836
2024-043AF,2024-043AF,2024-03-13T12:56:00.023424,3074.2573871402183,2103.831103053538,5799.360028346263
2024-043AG,2024-043AG,2024-03-13T12:56:02.449536,2992.7833072280046,2077.9676350114296,5851.616223135168
2024-043AH,2024-043AH,2024-03-13T12:55:27.439392,3389.940247271122,2204.3466931639414,5581.587037027079
2024-043AJ,2024-043AJ,2024-03-13T12:55:12.588960,3485.210662138309,2234.1904880609254,5510.411163022286
2024-043AK,2024-043AK,2024-03-13T12:55:13.603296,3423.346894966889,2215.665348477437,5557.063186303977
2024-043AL,2024-043AL,2024-03-13T12:54:46.384704,3642.0420231706153,2282.042206621358,5387.7877625302135
2024-043AM,2024-043AM,2024-03-13T12:54:16.565472,3951.1813091567446,2374.2317210326673,5123.690164639965
2024-043AN,2024-043AN,2024-03-13T12:53:41.852544,4237.736378513937,2453.9419191840807,4848.810483357783
2024-043AP,2024-043AP,2024-03-13T12:53:22.722720,4313.355954395956,2475.1829604563122,4770.671698259097
2024-043AQ,2024-043AQ,2024-03-13T12:53:04.525152,4449.066946708698,2510.436065583543,4625.056674907297
2024-043AR,2024-043AR,2024-03-13T12:52:53.341536,4531.312511778148,2531.6887980504757,4532.431301286597
2024-043AS,2024-043AS,2024-03-13T12:51:10.215360,5464.6266042112,2729.458983258332,3188.167378641702
2024-043AT,2024-043AT,2024-03-13T11:16:02.529408,5499.182609899634,2734.7521771840047,3123.4748205319847
2024-043AU,2024-043AU,2024-03-13T12:50:31.013088,5505.935834002503,2735.669838175031,3108.7201407554035
2024-043AV,2024-043AV,2024-03-13T12:49:58.117152,5688.636200819384,2759.509298788584,2736.0862977612464
2024-043AW,2024-043AW,2024-03-13T12:49:58.207872,5667.00625218282,2757.8270624272336,2781.773446637237
2024-043AX,2024-043AX,2024-03-13T12:49:17.296608,5910.226566766365,2776.921708775621,2192.484176550985
2024-043AY,2024-043AY,2024-03-13T11:13:34.484736,6113.551015672632,2769.8179670005475,1549.4670131212747
2024-043AZ,2024-043AZ,2024-03-13T12:48:00.868032,6160.9103630391055,2763.212794376749,1360.6940229201282
2024-043BA,2024-043BA,2024-03-13T12:48:12.375648,6075.960603083607,2772.638824170748,1689.7724774602784
2024-043BB,2024-043BB,2024-03-13T12:47:15.062208,6227.21070235858,2747.185747420459,1061.9215443670612
2024-043BC,2024-043BC,2024-03-13T12:47:02.398560,6249.996667762005,2739.893476561858,935.9760288535776
STARLINK-31312,2024-044A,2024-03-15T06:00:00.999648,-5080.8747840941905,1379.6380076694509,-4113.261710845725
STARLINK-31308,2024-044B,2024-03-15T04:00:00.999936,2548.8783152566575,-4257.751053833799,4533.305564674515
STARLINK-31270,2024-044C,2024-03-15T06:00:00.999648,-5549.099334326521,-3696.6526521569276,-958.896203566973
STARLINK-31341,2024-044D,2024-03-15T06:00:00.999648,-5481.447673339002,-3827.19491494419,-826.1603444771844
STARLINK-31338,2024-044E,2024-03-15T06:00:00.999648,-5408.128833987292,-3957.5818141810496,-689.9495562245
STARLINK-31334,2024-044F,2024-03-15T06:00:00.999648,-5320.887477509543,-4095.8452439589905,-539.514304263939
STARLINK-31297,2024-044G,2024-03-15T04:00:00.999936,-5253.753107211865,-4195.409905852983,-428.58275744229604
STARLINK-31182,2024-044H,2024-03-15T04:00:00.999936,-5163.670394277554,-4317.565663732774,-287.40774921406387
STARLINK-31327,2024-044J,2024-03-15T04:00:00.999936,-5067.593008560325,-4437.071678677533,-144.34818261585085
STARLINK-31256,2024-044K,2024-03-15T04:00:00.999936,-4964.08027467367,-4554.979872979859,2.3111484441315584
STARLINK-31272,2024-044L,2024-03-15T06:00:00.999648,-4848.941851191585,-4673.906812431157,157.13726517849088
STARLINK-31278,2024-044M,2024-03-15T04:00:00.999936,-4759.756358157958,-4759.965528734031,272.70417497257273
STARLINK-31309,2024-044N,2024-03-15T04:00:00.999936,-4638.783999960909,-4867.301534130003,423.1681644105918
STARLINK-31325,2024-044P,2024-03-15T04:00:00.999936,-4529.495612893985,-4956.334934764748,553.6009983351026
STARLINK-31342,2024-044Q,2024-03-15T04:00:00.999936,-4405.639731181512,-5049.3380346516105,695.9899110341988
STARLINK-31298,2024-044R,2024-03-15T06:00:00.999648,-4253.360270248451,-5152.6165926713875,863.4263391906701
STARLINK-31322,2024-044S,2024-03-15T04:00:00.999936,-4157.8597709933765,-5212.832746893102,965.2084855576203
STARLINK-31329,2024-044T,2024-03-15T04:00:00.999936,-4019.441136480986,-5292.429264453345,1107.5265838607947
STARLINK-31340,2024-044U,2024-03-15T04:00:00.999936,-3889.9574258998414,-5360.129988613237,1235.974963187568
STARLINK-31344,2024-044V,2024-03-15T04:00:00.999936,-3758.711925060506,-5422.944241008395,1362.1680178585332
STARLINK-31348,2024-044W,2024-03-15T04:00:00.999936,-3601.299465827553,-5490.66123218064,1508.2266713034758
STARLINK-31289,2024-044X,2024-03-15T04:00:00.999936,-3453.809894817835,-5547.2214231564485,1640.38911882836
STARLINK-31283,2024-044Y,2024-03-15T04:00:00.999936,-3297.71316672571,-5600.410236049777,1775.6143695545052
EXO-0,2023-174DK,2024-03-14T21:03:32.576832,-6150.293345913308,3136.6580009197164,300.77556174389537
2024-047A,2024-047A,2024-03-15T04:34:59.235168,3595.926096432105,4561.030995892393,-3797.4528301002447
2024-047B,2024-047B,2024-03-13T09:40:18.197760,4179.917375720273,4932.989824183506,-2511.2631058583574
ELECTRON R/B,2024-047C,2024-03-14T15:38:12.940224,-3822.71755631783,-3334.470804617597,-4161.537198820819
