STARLINK-30861          
1 58281U 23174AB  23340.87088915  .00011043  00000+0  59991-3 0  9993
2 58281  97.4818  53.3888 0010282 177.2951 182.8339 15.14636359  4408
FLOCK 4Q-27             
1 58282U 23174AC  23340.87300705  .00005702  00000+0  31439-3 0  9990
2 58282  97.4784  53.3703 0009993 173.8380 186.2977 15.14327513  4407
FLOCK 4Q-17             
1 58283U 23174AD  23340.87130780  .00007086  00000+0  38794-3 0  9993
2 58283  97.4772  53.3700 0010125 174.0203 186.1152 15.14495957  4400
FLOCK 4Q-26             
1 58284U 23174AE  23340.87200081  .00005958  00000+0  32754-3 0  9992
2 58284  97.4839  53.3961 0011094 179.3094 180.8155 15.14404401  4404
FLOCK 4Q-31             
1 58285U 23174AF  23340.87181273  .00005989  00000+0  32915-3 0  9997
2 58285  97.4854  53.3999 0011731 179.6948 180.4293 15.14406708  4403
FLOCK 4Q-30             
1 58286U 23174AG  23340.87150576  .00005920  00000+0  32519-3 0  9995
2 58286  97.4855  53.3996 0012076 178.3410 181.7864 15.14430704  4406
2023-174AH              
1 58287U 23174AH  23340.73854012  .00007626  00000+0  41652-3 0  9990
2 58287  97.4785  53.2425 0010340 170.4603 189.6827 15.14550735  4384
ICEYE-X31               
1 58288U 23174AJ  23341.39757131  .00008347  00000+0  45297-3 0  9998
2 58288  97.4823  53.9122 0010417 175.8755 184.2565 15.14754522  4482
2023-174AK              
1 58289U 23174AK  23340.46011527  .00041837  00000+0  21318-2 0  9996
2 58289  97.4904  53.0441 0011271 188.3812 171.7234 15.16590091  4340
2023-174AL              
1 58290U 23174AL  23341.18402131  .00040579  00000+0  20523-2 0  9992
2 58290  97.4896  53.7620 0010611 186.6663 173.4431 15.16866922  4459
FALCONSAT-10            
1 58291U 23174AM  23340.87194621  .00003890  00000+0  21566-3 0  9994
2 58291  97.4807  53.3839 0011033 171.6794 188.4623 15.14320261  4401
UMBRA-08                
1 58292U 23174AN  23340.86464337  .00021375  00000+0  11325-2 0  9997
2 58292  97.4800  53.3873 0009928 175.1886 184.9444 15.15375936  4406
ICEYE-X32               
1 58293U 23174AP  23340.86714135  .00011607  00000+0  62563-3 0  9990
2 58293  97.4811  53.3921 0010580 175.9523 184.1797 15.14897866  4408
ICEYE-X34               
1 58294U 23174AQ  23340.86720341  .00010095  00000+0  54526-3 0  9997
2 58294  97.4822  53.3950 0010703 176.6155 183.5152 15.14862281  4400
2023-174AR              
1 58295U 23174AR  23341.46456617  .00004071  00000+0  22444-3 0  9998
2 58295  97.4809  53.9716 0011381 170.7740 189.3703 15.14491292  4495
PELICAN 3001            
1 58296U 23174AS  23341.33208161  .00002766  00000+0  15372-3 0  9995
2 58296  97.4809  53.8434 0011634 172.1309 188.0107 15.14474560  4471
UMBRA-07                
1 58297U 23174AT  23340.86127818  .00020761  00000+0  10933-2 0  9994
2 58297  97.4800  53.3919 0010717 173.0214 187.1169 15.15589816  4405
SPIP                    
1 58298U 23174AU  23340.86817292  .00003734  00000+0  20590-3 0  9999
2 58298  97.4819  53.3936 0012149 173.8655 186.2728 15.14529997  4407
AETHER-2                
1 58299U 23174AV  23341.45866420  .00008735  00000+0  46968-3 0  9996
2 58299  97.4793  53.9706 0011629 167.8761 192.2754 15.15055895  4490
ION SCV-013             
1 58300U 23174AW  23339.41620091  .00004394  00000+0  24867-3 0  9995
2 58300  97.4809  51.9563 0013390 213.2390 146.8001 15.13487554  4186
IMPULSE-1 MIRA          
1 58301U 23174AX  23341.46089344  .00002910  00000+0  16058-3 0  9999
2 58301  97.4827  53.9838 0012674 169.7471 190.4022 15.14672012  4491
ICEYE-X35               
1 58302U 23174AY  23341.45688239  .00008462  00000+0  45363-3 0  9996
2 58302  97.4821  53.9859 0011987 172.6543 187.4867 15.15166437  4491
FLOCK 4Q-25             
1 58303U 23174AZ  23341.45871453  .00005680  00000+0  30800-3 0  9998
2 58303  97.4762  53.9617 0011111 164.1452 196.0131 15.14914521  4496
FLOCK 4Q-29             
1 58304U 23174BA  23341.45875617  .00004631  00000+0  25203-3 0  9991
2 58304  97.4855  53.9940 0012655 167.7284 192.4259 15.14871756  4498
FLOCK 4Q-18             
1 58305U 23174BB  23341.45740363  .00005392  00000+0  29177-3 0  9990
2 58305  97.4765  53.9638 0011377 163.8635 196.2962 15.15008608  4492
FLOCK 4Q-22             
1 58306U 23174BC  23340.79788544  .00005092  00000+0  27674-3 0  9997
2 58306  97.4772  53.3142 0011783 167.0429 193.1108 15.14881882  4392
FLOCK 4Q-23             
1 58307U 23174BD  23341.45741325  .00005364  00000+0  29037-3 0  9995
2 58307  97.4844  53.9947 0013000 169.1660 190.9855 15.14985502  4495
FLOCK 4Q-33             
1 58308U 23174BE  23341.45477847  .00004841  00000+0  26065-3 0  9998
2 58308  97.4782  53.9710 0012254 165.6785 194.4797 15.15231514  4496
FLOCK 4Q-35             
1 58309U 23174BF  23341.45660024  .00004535  00000+0  24584-3 0  9994
2 58309  97.4834  53.9932 0013099 172.3003 187.8432 15.15015387  4497
FLOCK 4Q-32             
1 58310U 23174BG  23340.86173924  .00012363  00000+0  66006-3 0  9991
2 58310  97.4848  53.4111 0012831 168.1268 192.0270 15.15198853  4406
FLOCK 4Q-14             
1 58311U 23174BH  23341.45634008  .00004200  00000+0  22806-3 0  9994
2 58311  97.4771  53.9684 0011458 162.5182 197.6447 15.15015085  4490
FLOCK 4Q-3              
1 58312U 23174BJ  23340.85940156  .00015171  00000+0  80333-3 0  9990
2 58312  97.4842  53.4111 0012262 167.3451 192.8092 15.15448669  4408
FLOCK 4Q-20             
1 58313U 23174BK  23341.45593148  .00005282  00000+0  28528-3 0  9993
2 58313  97.4837  53.9934 0013177 167.4944 192.6618 15.15070552  4498
FLOCK 4Q-24             
1 58314U 23174BL  23341.45615629  .00004235  00000+0  22983-3 0  9999
2 58314  97.4778  53.9691 0012382 163.4789 196.6849 15.15020082  4496
FLOCK 4Q-6              
1 58315U 23174BM  23341.45654518  .00004019  00000+0  21859-3 0  9991
2 58315  97.4772  53.9675 0012047 162.5015 197.6634 15.14973060  4498
FLOCK 4Q-34             
1 58316U 23174BN  23340.92702104  .00010674  00000+0  57250-3 0  9996
2 58316  97.4790  53.4531 0013003 166.8752 193.2821 15.15072524  4411
KAFASAT                 
1 58317U 23174BP  23341.45198124  .00009941  00000+0  52636-3 0  9995
2 58317  97.4799  53.9798 0012929 168.1200 192.0340 15.15548850  4491
FLOCK 4Q-7              
1 58318U 23174BQ  23341.45484254  .00004181  00000+0  22645-3 0  9996
2 58318  97.4841  53.9952 0013291 165.1203 195.0423 15.15091369  4498
FLOCK 4Q-15             
1 58319U 23174BR  23341.45447004  .00004859  00000+0  26208-3 0  9990
2 58319  97.4834  53.9928 0012692 162.3334 197.8342 15.15164876  4496
FLOCK 4Q-2              
1 58320U 23174BS  23341.45453490  .00003986  00000+0  21598-3 0  9995
2 58320  97.4788  53.9760 0012451 161.9577 198.2099 15.15109945  4497
PROTOMETHEE             
1 58321U 23174BT  23341.45507347  .00004108  00000+0  22284-3 0  9997
2 58321  97.4742  53.9604 0011350 158.3523 201.8191 15.15062618  4492
FLOCK 4Q-9              
1 58322U 23174BU  23341.45419725  .00004033  00000+0  21837-3 0  9990
2 58322  97.4801  53.9813 0012774 162.3815 197.7863 15.15127495  4495
2023-174BV              
1 58323U 23174BV  23340.86063449  .00004157  00000+0  22553-3 0  9996
2 58323  97.4876  53.4198 0013393 163.5055 196.6615 15.15032347  4401
FLOCK 4Q-10             
1 58324U 23174BW  23341.45443505  .00003834  00000+0  20797-3 0  9997
2 58324  97.4807  53.9831 0012519 160.6584 199.5126 15.15094154  4491
FLOCK 4Q-5              
1 58325U 23174BX  23340.85937847  .00005989  00000+0  32200-3 0  9993
2 58325  97.4826  53.4061 0013276 164.6810 195.4827 15.15174532  4403
2023-174BY              
1 58326U 23174BY  23340.87542179  .00006829  00000+0  37694-3 0  9992
2 58326  97.4775  53.3672 0010714 181.8908 178.2285 15.14213377  4404
FLOCK 4Q-4              
1 58327U 23174BZ  23340.87527209  .00005669  00000+0  31381-3 0  9998
2 58327  97.4779  53.3683 0010344 180.7554 179.3664 15.14190922  4408
FLOCK 4Q-13             
1 58328U 23174CA  23340.87562532  .00004935  00000+0  27386-3 0  9992
2 58328  97.4841  53.3886 0012094 182.1014 178.0169 15.14149281  4403
FLOCK 4Q-21             
1 58329U 23174CB  23340.87419681  .00006835  00000+0  37640-3 0  9994
2 58329  97.4842  53.3927 0011141 181.2023 178.9184 15.14290780  4400
2023-174CC              
1 58330U 23174CC  23341.44922766  .00005314  00000+0  28402-3 0  9990
2 58330  97.4745  53.9715 0010503 152.8745 207.3038 15.15462203  4497
2023-174CD              
1 58331U 23174CD  23341.44773903  .00007375  00000+0  39057-3 0  9995
2 58331  97.4756  53.9767 0011010 153.8736 206.3054 15.15656117  4498
2023-174CE              
1 58332U 23174CE  23341.44531732  .00012424  00000+0  64831-3 0  9997
2 58332  97.4748  53.9755 0011086 154.6150 205.5629 15.16025868  4492
2023-174CF              
1 58333U 23174CF  23341.44656826  .00009434  00000+0  49624-3 0  9990
2 58333  97.4758  53.9777 0011055 152.8169 207.3645 15.15817066  4490
2023-174CG              
1 58334U 23174CG  23341.44815175  .00005587  00000+0  29753-3 0  9991
2 58334  97.4856  54.0071 0012918 154.4940 205.6932 15.15546496  4499
2023-174CH              
1 58335U 23174CH  23340.84769164  .00017287  00000+0  88968-3 0  9994
2 58335  97.4770  53.4034 0011260 160.5755 199.5909 15.16435979  4408
2023-174CJ              
1 58336U 23174CJ  23341.44794702  .00005536  00000+0  29507-3 0  9996
2 58336  97.4759  53.9774 0010685 151.3270 208.8552 15.15543790  4499
2023-174CK              
1 58337U 23174CK  23341.44088958  .00014296  00000+0  73592-3 0  9992
2 58337  97.4825  54.0086 0012201 159.5376 200.6348 15.16461195  4497
2023-174CL              
1 58338U 23174CL  23340.84948721  .00011804  00000+0  61633-3 0  9994
2 58338  97.4792  53.4084 0011094 152.9815 207.1997 15.16016632  4401
PLATFORM 5              
1 58339U 23174CM  23341.44332952  .00010124  00000+0  52881-3 0  9994
